Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Distance (Km),whether he/she donated blood in Februry 2022
2,1,250,2,9.4,0
2,1,250,2,17.2,0
11,10,2500,35,14.1,0
11,4,1000,16,2.3,1
4,5,1250,33,1.6,1
4,6,1500,41,0,1
2,3,750,22,17.8,0
4,4,1000,26,0.3,1
10,4,1000,16,15.7,0
2,4,1000,35,10.5,0
4,12,3000,88,14.5,0
13,8,2000,26,8,0
11,9,2250,33,4.9,0
4,5,1250,34,17.6,0
4,4,1000,26,8,0
8,15,3750,77,0.1,0
4,5,1250,35,2.8,1
4,7,1750,52,3.7,0
4,7,1750,52,4.1,0
2,4,1000,35,5.2,0
11,11,2750,42,11.7,0
2,2,500,14,17.5,0
2,5,1250,47,5.2,1
9,8,2000,38,2.2,1
4,6,1500,47,0.6,0
11,7,1750,29,6,0
9,9,2250,45,6.7,0
4,6,1500,52,10.5,0
4,7,1750,58,10.7,0
6,2,500,11,2,1
4,7,1750,58,8.9,0
11,9,2250,38,1,0
11,6,1500,26,4.3,0
2,2,500,16,6.6,0
2,7,1750,76,5.6,0
11,6,1500,27,12.6,0
11,3,750,14,8.1,0
4,1,250,4,4.9,0
4,1,250,4,7.4,0
4,1,250,4,15.4,0
4,1,250,4,10.9,0
4,1,250,4,4.2,0
4,1,250,4,1.9,1
4,1,250,4,13.7,0
4,1,250,4,7.6,0
4,1,250,4,13.6,0
4,1,250,4,8.2,0
4,1,250,4,16,0
4,1,250,4,3.3,1
4,1,250,4,3.3,1
4,1,250,4,0.7,0
4,1,250,4,5,1
4,1,250,4,0.3,1
4,1,250,4,9.1,0
4,3,750,24,17.8,0
4,1,250,4,19.1,0
4,1,250,4,15.2,0
4,1,250,4,18.9,0
4,1,250,4,4.6,1
4,1,250,4,1.4,0
10,8,2000,39,8.6,0
14,7,1750,26,12.5,0
8,10,2500,63,9.8,0
11,3,750,15,0.5,0
4,2,500,14,16,0
2,4,1000,43,5.1,0
8,9,2250,58,3,0
8,8,2000,52,3.9,1
11,22,5500,98,8.7,0
4,3,750,25,2.8,1
11,17,4250,79,4.4,1
9,2,500,11,14.6,0
4,5,1250,46,0.8,0
11,12,3000,58,15.1,0
7,12,3000,86,19.3,0
11,2,500,11,19.6,0
11,2,500,11,8,0
11,2,500,11,16.4,0
2,6,1500,75,0.9,0
11,8,2000,41,5,1
11,3,750,16,5.9,1
12,13,3250,59,5.1,0
2,3,750,35,11.1,0
16,8,2000,28,3.7,0
11,7,1750,37,12.9,0
4,3,750,28,1.4,0
12,12,3000,58,14.4,0
4,4,1000,41,0.1,0
11,14,3500,73,3,1
2,2,500,23,15.6,0
2,3,750,38,4.2,1
4,5,1250,58,8.2,0
4,4,1000,43,4.6,1
3,2,500,23,1.6,0
11,8,2000,46,5.8,0
4,7,1750,82,4.2,0
13,4,1000,21,19.4,0
16,11,2750,40,6.1,0
16,7,1750,28,19.3,0
7,2,500,16,12.7,0
4,5,1250,58,11,0
4,5,1250,58,7.1,0
4,4,1000,46,17.7,0
14,13,3250,57,5.5,0
4,3,750,34,0.3,0
14,18,4500,78,1.6,0
11,8,2000,48,2.1,0
14,16,4000,70,5.6,0
14,4,1000,22,3.7,1
14,5,1250,26,1.7,0
8,2,500,16,7.3,0
11,5,1250,33,16.9,0
11,2,500,14,6.1,0
4,2,500,23,15.2,0
9,2,500,16,1.4,1
14,5,1250,28,2.6,1
14,3,750,19,3.1,1
14,4,1000,23,3.9,1
16,12,3000,50,10.5,0
11,4,1000,28,2.7,0
11,5,1250,35,9.1,0
11,5,1250,35,15.2,0
2,4,1000,70,3.7,0
14,5,1250,28,11.6,0
14,2,500,14,17.6,0
14,2,500,14,7.8,0
14,2,500,14,16.1,0
14,2,500,14,11.8,0
14,2,500,14,12.2,0
14,2,500,14,9,0
2,3,750,52,15.7,0
14,6,1500,34,4.1,0
11,5,1250,37,1.8,1
4,5,1250,74,15.9,0
11,3,750,23,14,0
16,4,1000,23,6.9,0
16,3,750,19,2.5,0
11,5,1250,38,2.9,0
11,2,500,16,13.8,0
12,9,2250,60,18.7,0
9,1,250,9,15.8,0
9,1,250,9,10.2,0
4,2,500,29,11.7,0
11,2,500,17,8.5,0
14,4,1000,26,12.6,0
11,9,2250,72,4.4,1
11,5,1250,41,2.3,0
15,16,4000,82,2.7,0
9,5,1250,51,1.2,1
11,4,1000,34,0.5,0
14,8,2000,50,2.6,1
16,7,1750,38,6.6,0
14,2,500,16,0.4,0
2,2,500,41,5.2,0
14,16,4000,98,9.3,0
14,4,1000,28,5.8,1
16,7,1750,39,9.7,0
14,7,1750,47,17.2,0
16,6,1500,35,18.7,0
16,6,1500,35,1.2,1
11,7,1750,62,0.1,1
16,2,500,16,9.2,0
16,3,750,21,2.8,1
11,3,750,28,12.4,0
11,7,1750,64,10.8,0
11,1,250,11,3.1,1
9,3,750,34,19.9,0
14,4,1000,30,16.6,0
23,38,9500,98,11.3,0
11,6,1500,58,19.5,0
11,1,250,11,1.8,0
11,1,250,11,4.1,0
11,1,250,11,2,0
11,1,250,11,16.7,0
11,1,250,11,5.6,0
11,1,250,11,19.7,0
11,1,250,11,15.9,0
11,1,250,11,7,0
11,2,500,21,15.1,0
11,5,1250,50,19.7,0
11,2,500,21,6.1,0
16,4,1000,28,11.5,0
4,2,500,41,1.3,0
16,6,1500,40,1.6,0
14,3,750,26,11.6,0
9,2,500,26,8.5,0
21,16,4000,64,19.3,0
14,6,1500,51,9.2,0
11,2,500,24,4.1,0
4,3,750,71,15.1,0
21,13,3250,57,19.3,0
11,6,1500,71,12.7,0
14,2,500,21,1,1
23,15,3750,57,9.7,0
14,4,1000,38,19.5,0
11,2,500,26,10.9,0
16,5,1250,40,2.5,1
4,2,500,51,4.8,1
14,3,750,31,3,0
4,2,500,52,8.9,0
9,4,1000,65,19.5,0
14,4,1000,40,15.3,0
11,3,750,40,1,1
14,5,1250,50,14.7,0
14,1,250,14,7.1,0
14,1,250,14,17.3,0
14,1,250,14,3.3,0
14,1,250,14,16.4,0
14,1,250,14,3.9,0
14,1,250,14,12.7,0
14,1,250,14,12.4,0
14,1,250,14,5.5,0
14,7,1750,72,11.6,0
14,1,250,14,16.4,0
14,1,250,14,2.9,0
9,3,750,52,1.5,0
14,7,1750,73,13.2,0
11,4,1000,58,12.1,0
11,4,1000,59,0.1,0
4,2,500,59,16.2,0
11,4,1000,61,5.8,0
16,4,1000,40,0,0
16,10,2500,89,13.4,0
21,2,500,21,5.3,1
21,3,750,26,2.5,0
16,8,2000,76,16.9,0
21,3,750,26,3.6,1
18,2,500,23,5.4,0
23,5,1250,33,15.5,0
23,8,2000,46,17.9,0
16,3,750,34,7.7,0
14,5,1250,64,2.7,0
14,3,750,41,15.3,0
16,1,250,16,10.2,0
16,1,250,16,6.4,0
16,1,250,16,15.9,0
16,1,250,16,11.2,0
16,1,250,16,5.9,0
16,1,250,16,11.8,0
16,1,250,16,18.9,0
16,4,1000,45,7,0
16,1,250,16,5.8,0
16,1,250,16,17.7,0
16,1,250,16,16,0
16,1,250,16,18,0
16,1,250,16,3,0
16,2,500,26,10.6,0
21,2,500,23,16.6,0
16,2,500,27,20,0
21,2,500,23,4.4,0
21,2,500,23,14.4,0
14,4,1000,57,8.5,0
16,5,1250,60,17.2,0
23,2,500,23,19.7,0
14,5,1250,74,3.1,0
23,3,750,28,5.9,0
16,3,750,40,2.7,0
9,2,500,52,5,0
9,2,500,52,14.9,0
16,7,1750,87,5.6,1
14,4,1000,64,3.3,0
14,2,500,35,2.9,0
16,7,1750,93,2.2,0
21,2,500,25,9,0
14,3,750,52,15.4,0
23,14,3500,93,7.1,0
18,8,2000,95,5,0
16,3,750,46,19.8,0
11,3,750,76,4.5,0
11,2,500,52,19,0
11,3,750,76,3.6,0
23,12,3000,86,13.6,0
21,3,750,35,10,0
23,2,500,26,15.2,0
23,2,500,26,5.2,0
23,8,2000,64,7.9,0
16,3,750,50,13.9,0
23,3,750,33,18.4,0
21,3,750,38,16.5,0
23,2,500,28,13,0
21,1,250,21,19.4,0
21,1,250,21,17.2,0
21,1,250,21,1.5,0
21,1,250,21,4.2,0
21,1,250,21,7.8,0
21,1,250,21,10.6,0
21,1,250,21,1.6,0
21,1,250,21,16.1,0
21,1,250,21,7.4,0
21,1,250,21,3.6,1
21,1,250,21,14.7,0
21,1,250,21,3.8,0
21,5,1250,60,12.1,0
23,4,1000,45,18.2,0
21,4,1000,52,8.2,0
22,1,250,22,2.5,1
11,2,500,70,14.5,0
23,5,1250,58,14.3,0
23,3,750,40,6.8,0
23,3,750,41,7.2,0
14,3,750,83,13.7,0
21,2,500,35,3.4,0
26,5,1250,49,5,1
23,6,1500,70,4.8,0
23,1,250,23,1.8,0
23,1,250,23,14.3,0
23,1,250,23,10.8,0
23,1,250,23,16.2,0
23,1,250,23,7.3,0
23,1,250,23,1.3,0
23,1,250,23,1.1,0
23,1,250,23,4.7,0
23,4,1000,53,5.4,0
21,6,1500,86,15.6,0
23,3,750,48,15.2,0
21,2,500,41,3.4,0
21,3,750,64,19.7,0
16,2,500,70,16.2,0
21,3,750,70,15.5,0
23,4,1000,87,15.2,0
23,3,750,89,9.2,0
23,2,500,87,16.2,0
35,3,750,64,17.1,0
38,1,250,38,9.9,0
38,1,250,38,4.6,0
40,1,250,40,11.7,0
74,1,250,74,9.2,0
2,43,10750,86,1.1,1
6,22,5500,28,1.1,1
2,34,8500,77,2.6,1
2,44,11000,98,4.7,0
0,26,6500,76,5.7,1
2,41,10250,98,2.8,1
3,21,5250,42,2.3,1
2,11,2750,23,0.7,0
2,21,5250,52,1.2,1
2,13,3250,32,3,1
4,4,1000,4,4.7,1
2,11,2750,26,9.4,0
2,11,2750,28,1.2,0
3,14,3500,35,10,0
4,16,4000,38,3.3,1
4,6,1500,14,14.3,0
3,5,1250,12,1.9,1
4,33,8250,98,0.5,1
3,10,2500,33,5.3,1
4,10,2500,28,2.4,1
2,11,2750,40,5.9,1
2,11,2750,41,0.7,1
4,13,3250,39,4,1
1,10,2500,43,4.2,1
4,9,2250,28,19.4,0
2,4,1000,11,10.5,0
2,5,1250,16,5.2,1
2,15,3750,64,9.1,0
5,24,6000,79,10.8,0
2,6,1500,22,4,1
4,5,1250,16,4.4,1
2,4,1000,14,4,1
4,8,2000,28,0.7,0
2,4,1000,14,15.7,0
2,6,1500,26,2.2,0
4,5,1250,16,4.4,1
2,7,1750,32,5.8,1
2,6,1500,26,4.7,1
2,8,2000,38,2.1,1
2,2,500,4,0.7,1
2,6,1500,28,3.4,1
2,10,2500,52,18,0
4,16,4000,70,5.3,1
4,2,500,4,5.3,1
1,14,3500,95,19.8,0
4,2,500,4,5.9,1
7,14,3500,48,19.1,0
2,3,750,11,3.4,0
2,12,3000,70,0.2,1
4,7,1750,32,4.5,1
4,4,1000,16,13.9,0
2,6,1500,35,0,1
4,6,1500,28,2.9,1
2,3,750,14,10.4,0
2,4,1000,23,15.4,0
4,4,1000,18,6.6,0
5,6,1500,28,9.9,0
4,6,1500,30,5.5,0
14,5,1250,14,13.4,0
3,8,2000,50,15.9,0
4,11,2750,64,0.3,1
4,9,2250,52,13.8,0
4,16,4000,98,5.2,1
7,10,2500,47,16.6,0
4,14,3500,86,11,0
2,9,2250,75,12.6,0
4,6,1500,35,3.5,0
4,9,2250,55,1.7,0
4,6,1500,35,5.3,1
2,6,1500,45,19.4,0
2,6,1500,47,0.4,0
4,2,500,9,14,0
2,2,500,11,5.3,1
2,2,500,11,7.6,0
2,2,500,11,4,1
4,6,1500,38,0,1
3,4,1000,29,5.4,1
9,9,2250,38,15.9,0
11,5,1250,18,4.7,0
2,3,750,21,4.9,0
2,1,250,2,15.6,0
2,1,250,2,4.9,1
2,1,250,2,9.1,0
2,1,250,2,15.9,0
2,1,250,2,15.1,0
2,1,250,2,16.9,0
2,1,250,2,4.3,1
2,1,250,2,12.5,0
2,1,250,2,15.1,0
2,1,250,2,14.5,0
2,1,250,2,19.1,0
11,11,2750,38,17.9,0
2,3,750,22,19.1,0
9,11,2750,49,5.3,1
5,11,2750,75,5.3,0
3,5,1250,38,7.4,0
3,1,250,3,2.7,1
4,6,1500,43,1.3,0
2,3,750,24,15.7,0
12,11,2750,39,3.2,0
2,2,500,14,4.1,0
4,6,1500,46,1,0
9,3,750,14,12.2,0
14,8,2000,26,10.3,0
4,2,500,13,5.1,0
4,11,2750,95,12,0
2,7,1750,77,12.3,0
2,7,1750,77,0.9,0
4,1,250,4,15,0
4,1,250,4,9,0
4,1,250,4,4,0
4,1,250,4,15.3,0
4,1,250,4,3.1,1
4,1,250,4,15,0
4,1,250,4,4.1,0
4,1,250,4,3.9,0
4,1,250,4,1.9,0
4,1,250,4,5.5,0
4,1,250,4,2.8,1
4,1,250,4,5.4,0
4,7,1750,62,14.2,0
4,1,250,4,2.2,0
4,4,1000,34,0.4,1
11,6,1500,28,0.7,0
13,3,750,14,5.7,1
7,5,1250,35,19.2,0
9,9,2250,54,13,0
11,2,500,11,9.1,0
2,5,1250,63,18.1,0
7,11,2750,89,2.5,0
8,9,2250,64,10.5,0
2,2,500,22,7.6,0
6,3,750,26,19.4,0
12,15,3750,71,17.1,0
13,3,750,16,13.2,0
11,16,4000,89,12.2,0
4,5,1250,58,14.2,0
14,7,1750,35,18.8,0
11,4,1000,27,12.1,0
7,9,2250,89,5.8,1
11,8,2000,52,1.5,1
7,5,1250,52,17.8,0
11,6,1500,41,4.3,0
10,5,1250,38,10.6,0
14,2,500,14,0.8,1
14,2,500,14,7.4,0
14,2,500,14,5.4,0
2,2,500,33,4,0
11,3,750,23,3.6,0
14,8,2000,46,7.4,0
9,1,250,9,6.8,0
16,5,1250,27,16.3,0
14,4,1000,26,10.8,0
4,2,500,30,12.6,0
14,3,750,21,11.7,0
16,16,4000,77,15.9,0
4,2,500,31,0.7,0
14,8,2000,50,8.6,0
11,3,750,26,14.5,0
14,7,1750,45,4.1,0
15,5,1250,33,10.3,0
16,2,500,16,10.3,0
16,3,750,21,15.8,0
11,8,2000,72,6.3,0
11,1,250,11,15.6,0
11,1,250,11,3.7,0
11,1,250,11,14,0
11,1,250,11,3,1
11,1,250,11,17.1,0
2,3,750,75,4.1,1
2,3,750,77,14.1,0
16,4,1000,28,6.8,0
16,15,3750,87,10.1,0
16,14,3500,83,15,0
16,10,2500,62,10.6,0
16,3,750,23,13.7,0
14,3,750,26,15.4,0
23,19,4750,62,10,0
11,7,1750,75,0.7,0
14,3,750,28,0.1,0
20,14,3500,69,0.8,1
4,2,500,46,16.3,0
11,2,500,25,16.6,0
11,3,750,37,8.7,0
16,4,1000,33,9.8,0
21,7,1750,38,3,0
13,7,1750,76,3.3,0
16,6,1500,50,3.9,0
14,3,750,33,6.3,0
14,1,250,14,16.6,0
14,1,250,14,8,0
14,1,250,14,11.2,0
14,1,250,14,15.7,0
14,1,250,14,11.5,0
14,1,250,14,13.2,0
17,7,1750,58,1.5,1
14,3,750,35,7.3,0
14,3,750,35,3.7,0
16,7,1750,64,13.5,0
21,2,500,21,12.8,0
16,3,750,35,10.3,0
16,1,250,16,17.1,0
16,1,250,16,14.7,0
16,1,250,16,1.2,0
16,1,250,16,10.1,0
16,1,250,16,9.2,0
14,2,500,29,1.2,0
11,4,1000,74,19.8,0
11,2,500,38,3.9,1
21,6,1500,48,8.8,0
23,2,500,23,5.2,0
23,6,1500,45,0.3,0
14,2,500,35,0.9,1
16,6,1500,81,3.7,0
16,4,1000,58,6.7,0
16,5,1250,71,7.4,0
21,2,500,26,11.3,0
21,3,750,35,2.3,0
21,3,750,35,9.7,0
23,8,2000,69,6.4,0
21,3,750,38,9.6,0
23,3,750,35,4.1,0
21,3,750,40,19.8,0
23,2,500,28,4.5,0
21,1,250,21,6.3,0
21,1,250,21,14.3,0
25,6,1500,50,0.1,0
21,1,250,21,13.4,0
21,1,250,21,7.6,0
23,3,750,39,0.6,0
21,2,500,33,16.9,0
14,3,750,79,19,0
23,1,250,23,0,1
23,1,250,23,8.2,0
23,1,250,23,15,0
23,1,250,23,14,0
23,1,250,23,9.3,0
23,1,250,23,15.4,0
23,1,250,23,14.8,0
23,4,1000,52,8.5,0
23,1,250,23,12.8,0
23,7,1750,88,13.3,0
16,3,750,86,1.5,0
23,2,500,38,4.6,0
21,2,500,52,6.9,0
23,3,750,62,11.9,0
39,1,250,39,6.2,0
72,1,250,72,0.9,0
